N,f,timeToElection,alpha,timeSpentInNanoSeconds
80,39,2000,0.1,1202662242
80,39,10,1.0,11439347
80,39,10,1.0,11507277
80,39,10,1.0,12234997
80,39,10,1.0,11474725
80,39,10,1.0,12631506
80,39,100,1.0,100792090
80,39,100,1.0,109907561
80,39,100,1.0,101311927
80,39,100,1.0,108480640
80,39,100,1.0,102976002
80,39,500,1.0,501118929
80,39,500,1.0,501238298
80,39,500,1.0,501781312
80,39,500,1.0,501480110
80,39,500,1.0,501533981
80,39,1000,1.0,1002234378
80,39,1000,1.0,1001759801
80,39,1000,1.0,1001973553
80,39,1000,1.0,1001784536
80,39,1000,1.0,1001609895
80,39,1500,1.0,1502436288
80,39,1500,1.0,1501574709
80,39,1500,1.0,393416284
80,39,1500,1.0,1501901733
80,39,1500,1.0,1501593499
80,39,2000,1.0,2001417506
80,39,2000,1.0,2001637771
80,39,2000,1.0,2001982559
80,39,2000,1.0,2001735186
80,39,2000,1.0,2002364364
90,44,10,0.0,28326679
90,44,10,0.0,21757289
90,44,10,0.0,21302140
90,44,10,0.0,16850123
90,44,10,0.0,19707243
90,44,100,0.0,105403635
90,44,100,0.0,107730992
90,44,100,0.0,110435581
90,44,100,0.0,120683386
90,44,100,0.0,114557900
90,44,500,0.0,506130374
90,44,500,0.0,508665267
90,44,500,0.0,505537341
90,44,500,0.0,508788981
90,44,500,0.0,47639431
90,44,1000,0.0,473400
90,44,1000,0.0,668394476
90,44,1000,0.0,374879619
90,44,1000,0.0,213908234
90,44,1000,0.0,817546006
90,44,1500,0.0,1507974791
90,44,1500,0.0,1518597712
90,44,1500,0.0,1366657615
90,44,1500,0.0,1507718598
90,44,1500,0.0,1514112981
90,44,2000,0.0,2008823867
90,44,2000,0.0,2008005817
90,44,2000,0.0,2016876685
90,44,2000,0.0,407538044
90,44,2000,0.0,1164445924
90,44,10,0.1,11997148
90,44,10,0.1,26027510
90,44,10,0.1,12927956
90,44,10,0.1,13024421
90,44,10,0.1,13006883
90,44,100,0.1,102691426
90,44,100,0.1,121726139
90,44,100,0.1,102005358
90,44,100,0.1,107395110
90,44,100,0.1,101637872
90,44,500,0.1,501891029
90,44,500,0.1,501743757
90,44,500,0.1,502223267
90,44,500,0.1,501905612
90,44,500,0.1,502486772
90,44,1000,0.1,1002065845
90,44,1000,0.1,1002282138
90,44,1000,0.1,1002539744
90,44,1000,0.1,1002615773
90,44,1000,0.1,1004406837
90,44,1500,0.1,1501875892
90,44,1500,0.1,1502970265
90,44,1500,0.1,1506002408
90,44,1500,0.1,1502389044
90,44,1500,0.1,1501660108
90,44,2000,0.1,2002363271
90,44,2000,0.1,2001922982
90,44,2000,0.1,2002270551
90,44,2000,0.1,2002601083
90,44,2000,0.1,2002296141
90,44,10,1.0,14291710
90,44,10,1.0,12636786
90,44,10,1.0,14085980
90,44,10,1.0,16836134
90,44,10,1.0,12266414
90,44,100,1.0,105986751
90,44,100,1.0,102611905
90,44,100,1.0,102089926
90,44,100,1.0,101609539
90,44,100,1.0,105209453
90,44,500,1.0,502382762
90,44,500,1.0,502054584
90,44,500,1.0,502390843
90,44,500,1.0,501665164
90,44,500,1.0,501608590
90,44,1000,1.0,1002645078
90,44,1000,1.0,1003200644
90,44,1000,1.0,1002246876
90,44,1000,1.0,1007032674
90,44,1000,1.0,1002605079
90,44,1500,1.0,1503259259
90,44,1500,1.0,1502154277
90,44,1500,1.0,1502541017
90,44,1500,1.0,1502714107
90,44,1500,1.0,1502756102
90,44,2000,1.0,1667717298
90,44,2000,1.0,2002153032
90,44,2000,1.0,2001889377
90,44,2000,1.0,2001812795
90,44,2000,1.0,2008278009
100,49,10,0.0,32240081
100,49,10,0.0,21592101
100,49,10,0.0,19939015
100,49,10,0.0,18277934
100,49,10,0.0,1578098
100,49,100,0.0,115080421
100,49,100,0.0,116262446
100,49,100,0.0,114853478
100,49,100,0.0,113208757
100,49,100,0.0,113281120
100,49,500,0.0,532444665
100,49,500,0.0,510479260
100,49,500,0.0,537844564
100,49,500,0.0,514003979
100,49,500,0.0,323972
100,49,1000,0.0,1010846443
100,49,1000,0.0,1010451208
100,49,1000,0.0,1012313739
100,49,1000,0.0,1009678999
100,49,1000,0.0,1010383204
100,49,1500,0.0,1511159345
100,49,1500,0.0,246789795
100,49,1500,0.0,658699303
100,49,1500,0.0,1511074806
100,49,1500,0.0,1519046092
100,49,2000,0.0,2010338602
100,49,2000,0.0,2010661744
100,49,2000,0.0,1051239960
100,49,2000,0.0,518179673
100,49,2000,0.0,1255713160
100,49,10,0.1,18414325
100,49,10,0.1,12759452
100,49,10,0.1,15938260
100,49,10,0.1,15862904
100,49,10,0.1,13503315
100,49,100,0.1,661717
100,49,100,0.1,102807968
100,49,100,0.1,102512760
100,49,100,0.1,106211034
100,49,100,0.1,101437796
100,49,500,0.1,502620423
100,49,500,0.1,503073511
100,49,500,0.1,504565337
100,49,500,0.1,503351731
100,49,500,0.1,502892632
100,49,1000,0.1,1003526186
100,49,1000,0.1,1003331248
100,49,1000,0.1,1002816760
100,49,1000,0.1,1002483107
100,49,1000,0.1,1003043674
100,49,1500,0.1,1502783089
100,49,1500,0.1,1503062166
100,49,1500,0.1,1502971936
100,49,1500,0.1,1502515752
100,49,1500,0.1,1503681584
100,49,2000,0.1,2002569834
100,49,2000,0.1,2002552047
100,49,2000,0.1,2003267449
100,49,2000,0.1,2003023133
100,49,2000,0.1,2003246186
100,49,10,1.0,27142479
100,49,10,1.0,12333178
100,49,10,1.0,13716198
100,49,10,1.0,16017799
100,49,10,1.0,22946636
100,49,100,1.0,102350075
100,49,100,1.0,117404286
100,49,100,1.0,104002087
100,49,100,1.0,101732905
100,49,100,1.0,103792291
100,49,500,1.0,503030272
100,49,500,1.0,502372577
100,49,500,1.0,502311249
100,49,500,1.0,502766200
100,49,500,1.0,527639039
100,49,1000,1.0,1002241055
100,49,1000,1.0,1003105378
100,49,1000,1.0,1002734407
100,49,1000,1.0,1002907981
100,49,1000,1.0,1003757113
100,49,1500,1.0,1502565474
100,49,1500,1.0,1502891348
100,49,1500,1.0,1504489764
100,49,1500,1.0,1503198959
100,49,1500,1.0,1504055301
100,49,2000,1.0,2003058058
100,49,2000,1.0,2002807067
100,49,2000,1.0,2003548953
100,49,2000,1.0,2003533937
100,49,2000,1.0,2002445116
