N,f,timeToElection,alpha,timeSpentInNanoSeconds
15,6,1000,0.0,14592739
15,6,1500,0.0,4003073
15,6,1500,0.0,2578231
15,6,1500,0.0,874298
15,6,1500,0.0,5352535
15,6,1500,0.0,1025726
15,6,2000,0.0,1729675
15,6,2000,0.0,2774832
15,6,2000,0.0,3089007
15,6,2000,0.0,2973971
15,6,2000,0.0,1804488
15,6,10,0.1,3366620
15,6,10,0.1,9049253
15,6,10,0.1,772369
15,6,10,0.1,2044303
15,6,10,0.1,5031535
15,6,100,0.1,2959386
15,6,100,0.1,2433495
15,6,100,0.1,6440197
15,6,100,0.1,3076282
15,6,100,0.1,1694281
15,6,500,0.1,12179913
15,6,500,0.1,1978564
15,6,500,0.1,3100523
15,6,500,0.1,11181857
15,6,500,0.1,2472583
15,6,1000,0.1,1779468
15,6,1000,0.1,703478
15,6,1000,0.1,16184686
15,6,1000,0.1,4032696
15,6,1000,0.1,3067744
15,6,1500,0.1,645059
15,6,1500,0.1,1518671
15,6,1500,0.1,2269103
15,6,1500,0.1,746419
15,6,1500,0.1,4401185
15,6,2000,0.1,2262266
15,6,2000,0.1,3459177
15,6,2000,0.1,3858466
15,6,2000,0.1,699214
15,6,2000,0.1,915587
15,6,10,1.0,3080863
15,6,10,1.0,2643363
15,6,10,1.0,4464647
15,6,10,1.0,2233726
15,6,10,1.0,3375376
15,6,100,1.0,1398853
15,6,100,1.0,15185841
15,6,100,1.0,5435638
15,6,100,1.0,754725
15,6,100,1.0,14321081
15,6,500,1.0,8455434
15,6,500,1.0,5608326
15,6,500,1.0,1103611
15,6,500,1.0,11245231
15,6,500,1.0,1162421
15,6,1000,1.0,1933084
15,6,1000,1.0,2024065
15,6,1000,1.0,19130728
15,6,1000,1.0,966978
15,6,1000,1.0,340627
15,6,1500,1.0,1530946
15,6,1500,1.0,7005322
15,6,1500,1.0,12661874
15,6,1500,1.0,1015854
15,6,1500,1.0,3122312
15,6,2000,1.0,2632163
15,6,2000,1.0,7236416
15,6,2000,1.0,4459534
15,6,2000,1.0,476436
15,6,2000,1.0,406466
20,9,10,0.0,237117
20,9,10,0.0,8500024
20,9,10,0.0,10437620
20,9,10,0.0,8978549
20,9,10,0.0,10146112
20,9,100,0.0,31420587
20,9,100,0.0,24988595
20,9,100,0.0,18643088
20,9,100,0.0,52183426
20,9,100,0.0,24673129
20,9,500,0.0,2485254
20,9,500,0.0,5044502
20,9,500,0.0,19804257
20,9,500,0.0,38788425
20,9,500,0.0,27290538
20,9,1000,0.0,15021712
20,9,1000,0.0,2270180
20,9,1000,0.0,561608
20,9,1000,0.0,15207485
20,9,1000,0.0,3783274
20,9,1500,0.0,8698502
20,9,1500,0.0,12927065
20,9,1500,0.0,13714925
20,9,1500,0.0,3013147
20,9,1500,0.0,30339673
20,9,2000,0.0,4058831
20,9,2000,0.0,57660795
20,9,2000,0.0,11694542
20,9,2000,0.0,12244171
20,9,2000,0.0,3238423
20,9,10,0.1,10269670
20,9,10,0.1,10521593
20,9,10,0.1,3619194
20,9,10,0.1,924204
20,9,10,0.1,10632767
20,9,100,0.1,1446823
20,9,100,0.1,3186877
20,9,100,0.1,3031785
20,9,100,0.1,28699251
20,9,100,0.1,16289521
20,9,500,0.1,126195552
20,9,500,0.1,8991428
20,9,500,0.1,7258412
20,9,500,0.1,18787088
20,9,500,0.1,3179560
20,9,1000,0.1,32131091
20,9,1000,0.1,13833398
20,9,1000,0.1,1450745
20,9,1000,0.1,19998728
20,9,1000,0.1,53762938
20,9,1500,0.1,1133792
20,9,1500,0.1,9138103
20,9,1500,0.1,12023354
20,9,1500,0.1,936477
20,9,1500,0.1,16698670
20,9,2000,0.1,7183302
20,9,2000,0.1,17634742
20,9,2000,0.1,15923876
20,9,2000,0.1,22359921
20,9,2000,0.1,12265560
20,9,10,1.0,10410868
20,9,10,1.0,7782470
20,9,10,1.0,8010221
20,9,10,1.0,3333595
20,9,10,1.0,19705476
20,9,100,1.0,36547642
20,9,100,1.0,97477223
20,9,100,1.0,1345436
20,9,100,1.0,6926577
20,9,100,1.0,75867234
20,9,500,1.0,19940783
20,9,500,1.0,11783312
20,9,500,1.0,12285651
20,9,500,1.0,3513239
20,9,500,1.0,4304638
20,9,1000,1.0,787135
20,9,1000,1.0,47351035
20,9,1000,1.0,24153028
20,9,1000,1.0,6561431
20,9,1000,1.0,19877497
20,9,1500,1.0,7687701
20,9,1500,1.0,20227680
20,9,1500,1.0,6416508
20,9,1500,1.0,25312261
20,9,1500,1.0,3477751
20,9,2000,1.0,22583439
20,9,2000,1.0,9030281
20,9,2000,1.0,14873686
20,9,2000,1.0,22728483
20,9,2000,1.0,5586246
25,11,10,0.0,10660439
25,11,10,0.0,15812104
25,11,10,0.0,10465770
25,11,10,0.0,10661191
25,11,10,0.0,11317376
25,11,100,0.0,8370831
25,11,100,0.0,100452239
25,11,100,0.0,493596
25,11,100,0.0,47638164
25,11,100,0.0,33097401
25,11,500,0.0,3444031
25,11,500,0.0,48077545
25,11,500,0.0,30026455
25,11,500,0.0,34939771
25,11,500,0.0,77689991
25,11,1000,0.0,29463076
25,11,1000,0.0,64441933
25,11,1000,0.0,143605011
25,11,1000,0.0,181022
25,11,1000,0.0,31695610
25,11,1500,0.0,33585311
25,11,1500,0.0,37610306
25,11,1500,0.0,31144847
25,11,1500,0.0,5281598
25,11,1500,0.0,55966895
25,11,2000,0.0,80536486
25,11,2000,0.0,125302357
25,11,2000,0.0,3862653
25,11,2000,0.0,36235707
25,11,2000,0.0,4201758
25,11,10,0.1,1870477
25,11,10,0.1,10248190
25,11,10,0.1,10448413
25,11,10,0.1,11091852
25,11,10,0.1,13475915
25,11,100,0.1,90203984
25,11,100,0.1,66862685
25,11,100,0.1,61398511
25,11,100,0.1,2483912
25,11,100,0.1,47273828
25,11,500,0.1,196237466
25,11,500,0.1,25780042
25,11,500,0.1,30018161
25,11,500,0.1,47009981
25,11,500,0.1,12655130
25,11,1000,0.1,67994685
25,11,1000,0.1,70814295
25,11,1000,0.1,92670598
25,11,1000,0.1,94843419
25,11,1000,0.1,3883468
25,11,1500,0.1,5737609
25,11,1500,0.1,254749
25,11,1500,0.1,13680400
25,11,1500,0.1,5913727
25,11,1500,0.1,9240413
25,11,2000,0.1,31128018
25,11,2000,0.1,62786888
25,11,2000,0.1,1109285
25,11,2000,0.1,9049907
25,11,2000,0.1,30227458
25,11,10,1.0,10200974
25,11,10,1.0,15590505
25,11,10,1.0,3348836
25,11,10,1.0,10219983
25,11,10,1.0,5710825
25,11,100,1.0,44644502
25,11,100,1.0,63559419
25,11,100,1.0,69776418
25,11,100,1.0,92334670
25,11,100,1.0,8186695
25,11,500,1.0,154070150
25,11,500,1.0,26883859
25,11,500,1.0,13246184
25,11,500,1.0,58627433
25,11,500,1.0,19610786
25,11,1000,1.0,8948449
25,11,1000,1.0,16949448
25,11,1000,1.0,24805193
25,11,1000,1.0,114002925
25,11,1000,1.0,22581358
25,11,1500,1.0,70907764
25,11,1500,1.0,32472224
25,11,1500,1.0,48403236
25,11,1500,1.0,21268375
25,11,1500,1.0,57399019
25,11,2000,1.0,36088432
25,11,2000,1.0,13453400
25,11,2000,1.0,21309829
25,11,2000,1.0,41980955
25,11,2000,1.0,9899499
30,14,10,0.0,12237329
30,14,10,0.0,10920341
30,14,10,0.0,10892151
30,14,10,0.0,10690083
30,14,10,0.0,23584697
30,14,100,0.0,18252008
30,14,100,0.0,38188307
30,14,100,0.0,101262780
30,14,100,0.0,101205282
30,14,100,0.0,11044366
30,14,500,0.0,125117501
30,14,500,0.0,90963026
30,14,500,0.0,315814487
30,14,500,0.0,31758902
30,14,500,0.0,244794907
30,14,1000,0.0,127261180
30,14,1000,0.0,18108868
30,14,1000,0.0,87947094
30,14,1000,0.0,111655680
30,14,1000,0.0,151391852
30,14,1500,0.0,135495832
30,14,1500,0.0,141647704
30,14,1500,0.0,16678279
30,14,1500,0.0,170537043
30,14,1500,0.0,209417360
30,14,2000,0.0,141875735
30,14,2000,0.0,127857674
30,14,2000,0.0,41052088
30,14,2000,0.0,62129100
30,14,2000,0.0,44687799
30,14,10,0.1,1807303
30,14,10,0.1,1559588
30,14,10,0.1,10341167
30,14,10,0.1,14055223
30,14,10,0.1,13373462
30,14,100,0.1,101226817
30,14,100,0.1,39765563
30,14,100,0.1,24409479
30,14,100,0.1,6413011
30,14,100,0.1,100375344
30,14,500,0.1,342615122
30,14,500,0.1,48972175
30,14,500,0.1,180669988
30,14,500,0.1,102643429
30,14,500,0.1,79924964
30,14,1000,0.1,176488754
30,14,1000,0.1,192198670
30,14,1000,0.1,25074059
30,14,1000,0.1,115152116
30,14,1000,0.1,19161149
30,14,1500,0.1,72252031
30,14,1500,0.1,98184391
30,14,1500,0.1,7701021
30,14,1500,0.1,29076887
30,14,1500,0.1,28625457
30,14,2000,0.1,55402297
30,14,2000,0.1,59081020
30,14,2000,0.1,1262196
30,14,2000,0.1,11568486
30,14,2000,0.1,175482349
30,14,10,1.0,10370567
30,14,10,1.0,10706098
30,14,10,1.0,10478384
30,14,10,1.0,10323506
30,14,10,1.0,11169316
30,14,100,1.0,65622028
30,14,100,1.0,91539591
30,14,100,1.0,797422
30,14,100,1.0,100299467
30,14,100,1.0,51197406
30,14,500,1.0,156277972
30,14,500,1.0,13187077
30,14,500,1.0,51161403
30,14,500,1.0,151375727
30,14,500,1.0,302341757
30,14,1000,1.0,7639714
30,14,1000,1.0,8466198
30,14,1000,1.0,305051681
30,14,1000,1.0,60832417
30,14,1000,1.0,60447108
30,14,1500,1.0,38977362
30,14,1500,1.0,93655
30,14,1500,1.0,74321948
30,14,1500,1.0,130150363
30,14,1500,1.0,46772671
30,14,2000,1.0,219024491
30,14,2000,1.0,110632089
30,14,2000,1.0,46774236
30,14,2000,1.0,340936543
30,14,2000,1.0,30174982
40,19,10,0.0,17243326
40,19,10,0.0,18040840
40,19,10,0.0,11190294
40,19,10,0.0,18823890
40,19,10,0.0,10995385
40,19,100,0.0,102062278
40,19,100,0.0,105204708
40,19,100,0.0,101354706
40,19,100,0.0,102147892
40,19,100,0.0,46048527
40,19,500,0.0,501292003
40,19,500,0.0,501012777
40,19,500,0.0,481155028
40,19,500,0.0,200886146
40,19,500,0.0,501573986
40,19,1000,0.0,113678162
40,19,1000,0.0,965563760
40,19,1000,0.0,1000852188
40,19,1000,0.0,373144013
40,19,1000,0.0,324382832
40,19,1500,0.0,582233610
40,19,1500,0.0,67327472
40,19,1500,0.0,336760513
40,19,1500,0.0,576555050
40,19,1500,0.0,185211185
40,19,2000,0.0,249552069
40,19,2000,0.0,307992489
40,19,2000,0.0,464098474
40,19,2000,0.0,426552849
40,19,2000,0.0,766087
40,19,10,0.1,10432559
40,19,10,0.1,16006253
40,19,10,0.1,10472863
40,19,10,0.1,10818081
40,19,10,0.1,10458683
40,19,100,0.1,100425010
40,19,100,0.1,144554
40,19,100,0.1,100588784
40,19,100,0.1,100789841
40,19,100,0.1,100806609
40,19,500,0.1,70591655
40,19,500,0.1,500323942
40,19,500,0.1,225260166
40,19,500,0.1,302050197
40,19,500,0.1,500443429
40,19,1000,0.1,31219123
40,19,1000,0.1,136430829
40,19,1000,0.1,850969519
40,19,1000,0.1,80400650
40,19,1000,0.1,324174999
40,19,1500,0.1,30855846
40,19,1500,0.1,284895528
40,19,1500,0.1,799266564
40,19,1500,0.1,720688019
40,19,1500,0.1,220216105
40,19,2000,0.1,163671732
40,19,2000,0.1,283585431
40,19,2000,0.1,831272421
40,19,2000,0.1,479679987
40,19,2000,0.1,862830575
40,19,10,1.0,13171129
40,19,10,1.0,10847371
40,19,10,1.0,10561475
40,19,10,1.0,10362588
40,19,10,1.0,10497067
40,19,100,1.0,100646235
40,19,100,1.0,100783385
40,19,100,1.0,100388900
40,19,100,1.0,101372448
40,19,100,1.0,100560477
40,19,500,1.0,500360589
40,19,500,1.0,375124254
40,19,500,1.0,78480770
40,19,500,1.0,149556914
